,sym_1,sym_2,p_value,t_value,c_value,hedge_ratio,zero_crossings
616,GALAUSDT,MASKUSDT,0.0,-4.43,-3.37,0.03,52
61,EOSUSDT,FLOWUSDT,0.01,-3.89,-3.37,0.63,51
1231,STXUSDT,IOTAUSDT,0.0,-4.53,-3.37,1.41,51
301,VETUSDT,STXUSDT,0.0,-5.52,-3.37,0.06,50
798,TLMUSDT,REQUSDT,0.0,-4.27,-3.37,0.23,50
1097,IMXUSDT,GLMRUSDT,0.0,-6.05,-3.37,1.49,49
1849,BAKEUSDT,BLZUSDT,0.0,-4.17,-3.37,3.29,49
1697,API3USDT,CREAMUSDT,0.02,-3.6,-3.37,0.1,48
322,THETAUSDT,GLMRUSDT,0.02,-3.66,-3.37,1.91,48
559,OMGUSDT,BANDUSDT,0.0,-4.77,-3.37,1.3,48
48,EOSUSDT,ADAUSDT,0.0,-4.35,-3.37,2.21,48
110,XTZUSDT,IOSTUSDT,0.03,-3.51,-3.37,117.43,47
1818,ARPAUSDT,BELUSDT,0.0,-5.72,-3.37,0.05,47
580,IOSTUSDT,BSWUSDT,0.02,-3.66,-3.37,0.04,47
788,TLMUSDT,SLPUSDT,0.03,-3.54,-3.37,6.78,47
1796,ARPAUSDT,IMXUSDT,0.01,-3.93,-3.37,0.04,47
1388,IOTAUSDT,ADAUSDT,0.03,-3.53,-3.37,0.61,46
1493,CREAMUSDT,ACHUSDT,0.0,-4.87,-3.37,1429.59,46
289,TRXUSDT,ARPAUSDT,0.03,-3.59,-3.37,1.85,46
1704,API3USDT,BSWUSDT,0.0,-6.06,-3.37,5.86,46
1332,KLAYUSDT,IOTAUSDT,0.0,-4.55,-3.37,0.84,45
424,ENJUSDT,MINAUSDT,0.0,-4.79,-3.37,0.75,45
66,EOSUSDT,IOTAUSDT,0.0,-5.73,-3.37,3.6,45
845,FLOWUSDT,IOTAUSDT,0.04,-3.4,-3.37,5.73,45
427,GRTUSDT,RNDRUSDT,0.01,-4.05,-3.37,0.19,45
1016,SXPUSDT,1000BTTUSDT,0.0,-4.2,-3.37,428.04,45
1281,BICOUSDT,1000XECUSDT,0.01,-3.85,-3.37,12.78,45
789,TLMUSDT,ANKRUSDT,0.0,-5.08,-3.37,0.97,45
1484,ROSEUSDT,BLZUSDT,0.0,-4.95,-3.37,0.56,45
117,XTZUSDT,ZILUSDT,0.03,-3.51,-3.37,41.29,45
1143,LITUSDT,ACHUSDT,0.05,-3.37,-3.37,64.3,45
17,BTCUSDT,ANKRUSDT,0.01,-3.95,-3.37,763957.94,45
103,LTCUSDT,FXSUSDT,0.04,-3.45,-3.37,9.85,44
